request_id=31830|request_type=Archive|submissiondate=20-10-2015 00:00:43|completiondate=20-10-2015 00:00:43|duration=0|status=Aborted|objectname=CL_TV3_19032015_1|category=TV3|group=copialegal|instance=-1|filespath=\\svcopialegal1\videos|fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=Y|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31831|request_type=Archive|submissiondate=20-10-2015 00:12:19|completiondate=20-10-2015 00:27:47|duration=928|status=Completed|objectname=CL_324_18102015|category=C324|group=copialegal|instance=-1|filespath=\\svcopialegal3\videos|fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination=B07281|errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31843|request_type=Archive|submissiondate=20-10-2015 01:10:23|completiondate=20-10-2015 01:10:35|duration=12|status=Completed|objectname=A_21795205|category=A|group=CACHEA1|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31842|request_type=Archive|submissiondate=20-10-2015 01:10:23|completiondate=20-10-2015 01:10:38|duration=15|status=Completed|objectname=A_21540842|category=A|group=CACHEA2|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31841|request_type=Archive|submissiondate=20-10-2015 01:10:23|completiondate=20-10-2015 01:10:41|duration=18|status=Completed|objectname=A_21540458|category=A|group=CACHEA3|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31847|request_type=Archive|submissiondate=20-10-2015 01:10:32|completiondate=20-10-2015 01:10:58|duration=26|status=Completed|objectname=A_19798142|category=A|group=CACHEA4|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31845|request_type=Archive|submissiondate=20-10-2015 01:10:29|completiondate=20-10-2015 01:11:05|duration=36|status=Completed|objectname=A_21809291|category=A|group=CACHEA4B|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31860|request_type=Archive|submissiondate=20-10-2015 01:10:57|completiondate=20-10-2015 01:11:06|duration=9|status=Completed|objectname=A_21809515|category=A|group=CACHEA1|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31844|request_type=Archive|submissiondate=20-10-2015 01:10:24|completiondate=20-10-2015 01:11:07|duration=43|status=Completed|objectname=A_21627294|category=A|group=CACHEA2|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31859|request_type=Archive|submissiondate=20-10-2015 01:10:56|completiondate=20-10-2015 01:11:11|duration=15|status=Completed|objectname=A_21809500|category=A|group=CACHEA1|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31872|request_type=Archive|submissiondate=20-10-2015 01:11:08|completiondate=20-10-2015 01:11:21|duration=13|status=Completed|objectname=A_21809534|category=A|group=CACHEA2|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31873|request_type=Archive|submissiondate=20-10-2015 01:11:11|completiondate=20-10-2015 01:11:24|duration=13|status=Completed|objectname=A_21795900|category=A|group=CACHEA2|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31846|request_type=Archive|submissiondate=20-10-2015 01:10:30|completiondate=20-10-2015 01:11:27|duration=57|status=Completed|objectname=A_21540897|category=A|group=CACHEA3|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31857|request_type=Archive|submissiondate=20-10-2015 01:10:50|completiondate=20-10-2015 01:11:29|duration=39|status=Completed|objectname=A_11699874|category=A|group=CACHEA4|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31852|request_type=Archive|submissiondate=20-10-2015 01:10:40|completiondate=20-10-2015 01:11:37|duration=57|status=Completed|objectname=A_21541545|category=A|group=CACHEA4B|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31855|request_type=Archive|submissiondate=20-10-2015 01:10:41|completiondate=20-10-2015 01:11:47|duration=66|status=Completed|objectname=A_17292664|category=A|group=CACHEA4B|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31864|request_type=Archive|submissiondate=20-10-2015 01:11:02|completiondate=20-10-2015 01:11:47|duration=45|status=Completed|objectname=A_21809518|category=A|group=CACHEA4|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31863|request_type=Archive|submissiondate=20-10-2015 01:11:01|completiondate=20-10-2015 01:11:49|duration=48|status=Completed|objectname=A_11699979|category=A|group=CACHEA1|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
